Word;Predicted_Entity;Annotated
When;O;O
Panna;I-per;I-per
money;O;O
.;O;O
nigiri;O;O
the;O;O
tasteless;O;O
Not;O;O
.;O;O
the;O;O
well;O;O
plantains;O;O
area;O;O
thinly;O;O
the;O;O
'm;O;O
but;O;O
edible;O;O
be;O;O
There;O;O
well;O;O
amount;O;O
for;O;O
it;O;O
my;O;O
this;O;O
the;O;O
you;O;O
a;O;O
.;O;O
very;O;O
more;O;O
'm;O;O
loved;O;O
and;O;O
taste;O;O
.;O;O
not;O;O
this;O;O
ten;O;O
us;O;O
the;O;O
our;O;O
friends;O;O
Service;I-org;I-org
impressed;O;O
This;O;O
spots;O;O
!;O;O
sides;O;O
restaurant;O;O
'd;O;O
my;O;O
.;O;O
equally;O;O
trap;O;O
were;O;O
Dylan;I-per;I-per
TOLD;I-per;O
empty;O;O
them;O;O
portions;O;O
leaves;O;O
it;O;O
,;O;O
waiter;O;B-per
you;O;O
attentive;O;O
one;O;O
any;O;O
go;O;O
!;O;O
was;O;O
desserts;O;O
!;O;O
generic;O;O
Never;O;O
cocktail;O;O
not;O;O
STALE;I-per;O
and;O;O
wave;O;O
,;O;O
flavourful;O;O
love;O;O
,;O;O
know;O;O
go;O;O
amount;O;O
wo;O;O
butter;O;O
nude;O;O
meal;O;O
.;O;O
not;O;O
and;O;O
beer;O;O
dry;O;O
soon;O;O
because;O;O
at;O;O
to;O;O
.;O;O
got;O;O
not;O;O
was;O;O
!;O;O
a;O;O
of;O;O
flat-lined;O;O
their;O;O
grease;O;O
for;O;O
to;O;O
,;O;O
is;O;O
to;O;O
said;O;O
even;O;O
.;O;O
!;O;O
perfectly;O;O
salmon;O;O
felt;O;O
!;O;O
to;O;O
to;O;O
.;O;O
minutes;O;O
good;O;O
really;O;O
be;O;O
which;O;O
to;O;O
reasons;O;O
sushi;O;O
.;O;O
The;O;O
waiter;O;B-per
It;O;O
compliments;O;O
platter;O;O
station;O;O
biscuits;O;O
...;O;O
that;O;O
place;O;O
food;O;O
the;O;O
impressed;O;O
needs;O;O
the;O;O
place;O;O
and;O;O
recommended;O;O
,;O;O
sever;O;O
is;O;O
coconut;O;O
wrong;O;O
I;O;O
's;O;O
my;O;O
world;O;O
never;O;O
get;O;O
dead;O;O
Today;B-tim;B-tim
waitresses;O;O
or;O;O
Bouchon;I-per;I-per
this;O;O
a;O;O
fillet;O;O
wine;O;O
enjoyed;O;O
and;O;O
better;O;O
reasonable;O;O
our;O;O
,;O;O
pecan;O;O
!;O;O
.;O;O
Paradise;I-per;I-geo
car;O;O
the;O;O
.;O;O
disappoint;O;O
Great;O;O
a;O;O
the;O;O
songs;O;O
opened;O;O
place;O;O
spot;O;O
was;O;O
.;O;O
spotty;O;O
40;O;O
the;O;O
the;O;O
down;O;O
it;O;O
I;O;O
pay;O;O
.;O;O
to;O;O
well;O;O
good;O;O
Unfortunately;O;O
the;O;O
us;O;O
Thai;B-gpe;B-gpe
do;O;O
a;O;O
.;O;O
.;O;O
The;O;O
,;O;O
said;O;O
a;O;O
n't;O;O
bad;O;O
was;O;O
bodes;O;O
may;O;O
for;O;O
,;O;O
boy;O;O
I;O;O
food;O;O
lot;O;O
If;O;O
driest;O;O
!;O;O
was;O;O
Definitely;O;O
I;O;O
bird;O;O
him;O;O
steak;O;O
.;O;O
And;O;O
tragedy;O;O
n't;O;O
melt;O;O
tell;O;O
was;O;O
call;O;O
we;O;O
They;O;O
three;O;O
My;O;O
of;O;O
less;O;O
and;O;O
done;O;O
We;O;O
go;O;O
Bachi;I-per;O
I;O;O
.;O;O
as;O;O
on;O;O
frustrated;O;O
before;O;O
on;O;O
as;O;O
.;O;O
.;O;O
so;O;O
the;O;O
Sooooo;I-per;O
all;O;O
staff;O;O
.;O;O
am;O;O
way;O;O
when;O;O
home;O;O
,;O;O
thrilled;O;O
judge;O;O
and;O;O
!;O;O
they;O;O
Hell;I-per;B-geo
you;O;O
They;O;O
me;O;O
.;O;O
and;O;O
The;O;O
server;O;O
there;O;O
of;O;O
refrained;O;O
owner;O;O
barely;O;O
Never;O;O
Hard;I-per;O
biggest;O;O
into;O;O
ripped;O;O
and;O;O
close;O;O
A;O;O
,;O;O
.;O;O
``;O;O
is;O;O
,;O;O
they;O;O
I;O;O
leave;O;O
was;O;O
since;O;O
's;O;O
go;O;O
frozen;O;O
,;O;O
The;O;O
.;O;O
immediately;O;O
burgers;O;O
salad;O;O
here;O;O
good;O;O
.;O;O
and;O;O
,;O;O
are;O;O
wait;O;O
good;O;O
the;O;O
was;O;O
truly;O;O
felt;O;O
almost;O;O
Update;I-per;O
have;O;O
thought;O;O
,;O;O
this;O;O
well;O;O
I;O;O
,;O;O
.;O;O
we;O;O
hilarious;O;O
REALLY;I-per;O
,;O;O
this;O;O
it;O;O
that;O;O
spaghetti;O;O
my;O;O
did;O;O
.;O;O
and;O;O
the;O;O
around;O;O
food;O;O
to;O;O
.;O;O
I;O;O
good;O;O
spicy;O;O
stars;O;O
have;O;O
I;O;O
all;O;O
pretty;O;O
,;O;O
disappointment;O;O
the;O;O
well;O;O
was;O;O
that;O;O
to;O;O
a;O;O
the;O;O
good;O;O
even;O;O
cooked;O;O
music;O;O
of;O;O
It;O;O
that;O;O
walked;O;O
!;O;O
the;O;O
they;O;O
This;O;O
a;O;O
thing;O;O
restaurant;O;O
&;I-org;I-org
how;O;O
Would;O;O
sauce;O;O
THE;O;O
disappointed;O;O
I;O;O
too;O;O
get;O;O
you;O;O
the;O;O
prices;O;O
hours;O;O
up;O;O
not;O;O
night;O;O
crazy;O;O
up;O;O
of;O;O
black;O;O
At;O;O
is;O;O
cool;O;O
,;O;O
from;O;O
!;O;O
pub;O;O
for;O;O
not;O;O
.;O;O
server;O;O
afternoon;I-tim;I-tim
meat;O;O
We;O;O
When;O;O
Always;O;O
have;O;O
like;O;O
Denny;I-per;I-per
will;O;O
was;O;O
the;O;O
's;O;O
prices;O;O
nice;O;O
...;O;O
either;O;O
the;O;O
I;O;O
n't;O;O
The;O;O
famous;O;O
did;O;O
to;O;O
The;O;O
'';O;O
,;O;O
!;O;O
back;O;O
You;O;O
portions;O;O
our;O;O
.;O;O
was;O;O
BITCHES;I-per;I-per
had;O;O
wo;O;O
Experience;O;O
The;O;O
bread;O;O
great;O;O
.;O;O
Dessert;O;O
nice;O;O
only;O;O
and;O;O
one;O;O
of;O;O
seasoning;O;O
the;O;O
.;O;O
the;O;O
But;O;O
small;O;O
selection;O;O
inside;O;O
peas;O;O
experience;O;O
friend;O;O
inexpensive;O;O
you;O;O
.;O;O
will;O;O
in;O;O
!;O;O
M;I-per;I-per
the;O;O
We;O;O
After;O;O
sad;O;O
over;O;O
Owner;I-per;I-per
