Word,Predicted_Entity
When,O
Panna,I-per
money,O
.,O
nigiri,O
the,O
tasteless,O
Not,O
.,O
the,O
well,O
plantains,O
area,O
thinly,O
the,O
'm,O
but,O
edible,O
be,O
There,O
well,O
amount,O
for,O
it,O
my,O
this,O
the,O
you,O
a,O
.,O
very,O
more,O
'm,O
loved,O
and,O
taste,O
.,O
not,O
this,O
ten,O
us,O
the,O
our,O
friends,O
Service,I-org
impressed,O
This,O
spots,O
!,O
sides,O
restaurant,O
'd,O
my,O
.,O
equally,O
trap,O
were,O
Dylan,I-per
TOLD,I-per
empty,O
them,O
portions,O
leaves,O
it,O
",",O
waiter,O
you,O
attentive,O
one,O
any,O
go,O
!,O
was,O
desserts,O
!,O
generic,O
Never,O
cocktail,O
not,O
STALE,I-per
and,O
wave,O
",",O
flavourful,O
love,O
",",O
know,O
go,O
amount,O
wo,O
butter,O
nude,O
meal,O
.,O
not,O
and,O
beer,O
dry,O
soon,O
because,O
at,O
to,O
.,O
got,O
not,O
was,O
!,O
a,O
of,O
flat-lined,O
their,O
grease,O
for,O
to,O
",",O
is,O
to,O
said,O
even,O
.,O
!,O
perfectly,O
salmon,O
felt,O
!,O
to,O
to,O
.,O
minutes,O
good,O
really,O
be,O
which,O
to,O
reasons,O
sushi,O
.,O
The,O
waiter,O
It,O
compliments,O
platter,O
station,O
biscuits,O
...,O
that,O
place,O
food,O
the,O
impressed,O
needs,O
the,O
place,O
and,O
recommended,O
",",O
sever,O
is,O
coconut,O
wrong,O
I,O
's,O
my,O
world,O
never,O
get,O
dead,O
Today,B-tim
waitresses,O
or,O
Bouchon,I-per
this,O
a,O
fillet,O
wine,O
enjoyed,O
and,O
better,O
reasonable,O
our,O
",",O
pecan,O
!,O
.,O
Paradise,I-per
car,O
the,O
.,O
disappoint,O
Great,O
a,O
the,O
songs,O
opened,O
place,O
spot,O
was,O
.,O
spotty,O
40,O
the,O
the,O
down,O
it,O
I,O
pay,O
.,O
to,O
well,O
good,O
Unfortunately,O
the,O
us,O
Thai,B-gpe
do,O
a,O
.,O
.,O
The,O
",",O
said,O
a,O
n't,O
bad,O
was,O
bodes,O
may,O
for,O
",",O
boy,O
I,O
food,O
lot,O
If,O
driest,O
!,O
was,O
Definitely,O
I,O
bird,O
him,O
steak,O
.,O
And,O
tragedy,O
n't,O
melt,O
tell,O
was,O
call,O
we,O
They,O
three,O
My,O
of,O
less,O
and,O
done,O
We,O
go,O
Bachi,I-per
I,O
.,O
as,O
on,O
frustrated,O
before,O
on,O
as,O
.,O
.,O
so,O
the,O
Sooooo,I-per
all,O
staff,O
.,O
am,O
way,O
when,O
home,O
",",O
thrilled,O
judge,O
and,O
!,O
they,O
Hell,I-per
you,O
They,O
me,O
.,O
and,O
The,O
server,O
there,O
of,O
refrained,O
owner,O
barely,O
Never,O
Hard,I-per
biggest,O
into,O
ripped,O
and,O
close,O
A,O
",",O
.,O
``,O
is,O
",",O
they,O
I,O
leave,O
was,O
since,O
's,O
go,O
frozen,O
",",O
The,O
.,O
immediately,O
burgers,O
salad,O
here,O
good,O
.,O
and,O
",",O
are,O
wait,O
good,O
the,O
was,O
truly,O
felt,O
almost,O
Update,I-per
have,O
thought,O
",",O
this,O
well,O
I,O
",",O
.,O
we,O
hilarious,O
REALLY,I-per
",",O
this,O
it,O
that,O
spaghetti,O
my,O
did,O
.,O
and,O
the,O
around,O
food,O
to,O
.,O
I,O
good,O
spicy,O
stars,O
have,O
I,O
all,O
pretty,O
",",O
disappointment,O
the,O
well,O
was,O
that,O
to,O
a,O
the,O
good,O
even,O
cooked,O
music,O
of,O
It,O
that,O
walked,O
!,O
the,O
they,O
This,O
a,O
thing,O
restaurant,O
&,I-org
how,O
Would,O
sauce,O
THE,O
disappointed,O
I,O
too,O
get,O
you,O
the,O
prices,O
hours,O
up,O
not,O
night,O
crazy,O
up,O
of,O
black,O
At,O
is,O
cool,O
",",O
from,O
!,O
pub,O
for,O
not,O
.,O
server,O
afternoon,I-tim
meat,O
We,O
When,O
Always,O
have,O
like,O
Denny,I-per
will,O
was,O
the,O
's,O
prices,O
nice,O
...,O
either,O
the,O
I,O
n't,O
The,O
famous,O
did,O
to,O
The,O
'',O
",",O
!,O
back,O
You,O
portions,O
our,O
.,O
was,O
BITCHES,I-per
had,O
wo,O
Experience,O
The,O
bread,O
great,O
.,O
Dessert,O
nice,O
only,O
and,O
one,O
of,O
seasoning,O
the,O
.,O
the,O
But,O
small,O
selection,O
inside,O
peas,O
experience,O
friend,O
inexpensive,O
you,O
.,O
will,O
in,O
!,O
M,I-per
the,O
We,O
After,O
sad,O
over,O
Owner,I-per
